Name,Gender,Age,Income,Expenses,Savings,FinancialGoal,RiskAppetite,ESGScore,SustainableInvestments,EducationLevel,EmploymentStatus,InvestmentHorizon,EthicalConsiderations
Kimberly Dickson,Female,61,34190.577366756894,15425.992840682393,27454.97031636574,179164.44155838437,0.6031654324392886,37.33052204582076,No,High School,Self-Employed,Short Term,Governance
Crystal Sparks,Male,64,36691.325393308594,44051.813639487686,13984.994259243915,142541.31308725412,0.4044435991907358,98.53087154640878,No,Graduate,Unemployed,Long Term,Social Responsibility
Anthony Rivas,Female,33,113302.63290728308,45173.303654394236,38094.30793592738,186929.24160150735,0.4845328592614421,78.20236626651993,Yes,High School,Employed,Long Term,Governance
Joshua Pearson,Female,46,110938.04857785077,11157.926372807427,44273.41242837341,108811.53775381268,0.2788906331909753,53.75356298134671,No,High School,Self-Employed,Medium Term,Environmental Impact
Michael Gonzalez,Female,57,80715.88776431853,17710.53787326233,14305.038454490445,154942.19316236424,0.7679995555775966,42.37524566155083,No,Graduate,Unemployed,Long Term,Social Responsibility
Michael Campbell,Female,36,32961.16021381247,43317.19732306205,14124.4951454723,149777.0927812844,0.10803666801892264,91.14927318331021,No,Graduate,Self-Employed,Long Term,Social Responsibility
Ashley Johnson,Female,65,113588.97251291934,43479.0671043478,16236.294527613087,168316.80595218192,0.25068986035392715,45.174200118923245,Yes,High School,Self-Employed,Medium Term,Governance
Amber Dennis,Female,46,58303.62239039858,19979.610452971174,32836.86046318137,182360.5835341972,0.49727378212527773,0.10010586130895227,No,Graduate,Self-Employed,Medium Term,Governance
Victoria Hall,Female,32,116532.22708884052,28257.946685123225,12019.800581427151,117992.46015493579,0.6283710296631083,46.46520537221017,Yes,High School,Unemployed,Medium Term,Governance
Christopher Manning,Male,52,82833.24936760394,46721.24277364465,9801.018054742603,54539.619831776465,0.13460838071795933,82.93717847818874,Yes,Graduate,Self-Employed,Medium Term,Environmental Impact
Nancy Norman DVM,Female,33,97702.90228621785,38185.35780880146,46408.46582898453,121300.15430549576,0.09960339023022613,28.924945483400556,Yes,Graduate,Self-Employed,Short Term,Environmental Impact
Benjamin Cobb,Male,37,94144.02599544238,20959.09993897436,35411.5456194437,102716.12310258904,0.05285242073470697,97.20818040324872,Yes,Graduate,Self-Employed,Long Term,Governance
Andrew Barnes Jr.,Male,48,65846.64183556098,42940.25166756465,34854.083524420246,119186.25255573496,0.06822867317598236,0.05429317070172468,Yes,Graduate,Employed,Long Term,Environmental Impact
Thomas Foley,Female,30,36924.37422972113,30205.054997486553,32622.21388740886,75620.23172034774,0.6781074406709439,93.35068160430394,No,Graduate,Employed,Long Term,Environmental Impact
Thomas Riddle,Male,41,44620.52256432353,35416.39236303376,39390.989568598714,165191.22721472618,0.972072550498662,48.21862598754684,No,Graduate,Unemployed,Medium Term,Social Responsibility
Jasmine Bradley,Male,61,51642.497487385815,14954.914355628,29366.3279571361,140666.03471489056,0.38263298276501834,59.786775150067314,No,College,Unemployed,Short Term,Social Responsibility
Mr. Jonathon Stone DDS,Male,54,105118.55040825768,11222.527695279743,6901.840702894899,69109.10029852725,0.679204362086623,83.94877216219737,Yes,College,Unemployed,Short Term,Social Responsibility
Robert Rose,Male,46,65024.09466306229,24898.670461412286,26703.14365404728,65439.83154634309,0.15273665117288082,38.01535144391794,Yes,High School,Self-Employed,Medium Term,Governance
Jason Ray,Male,47,110687.31903024478,33761.74373808605,32930.0363674295,172632.93383375526,0.6219667615237282,35.14179203095933,No,College,Unemployed,Medium Term,Environmental Impact
Joseph Holland,Male,36,59855.685565964566,17103.347766554467,27155.31699668954,169513.66600429412,0.09633362859615269,63.220694074596565,No,College,Employed,Medium Term,Governance
Adrian Powell,Male,42,98004.8338068803,44819.23087673851,49341.25981960018,98880.45924471675,0.07651725903958528,58.51591664603665,No,College,Self-Employed,Short Term,Governance
Michael Costa,Male,50,42595.55348116776,33475.209936897074,45364.989793698274,147417.7119183436,0.7516097465153702,51.03284216024823,No,Graduate,Self-Employed,Long Term,Social Responsibility
Stuart Kelly,Male,51,118963.01621226927,23990.396065786183,44094.59760310491,168864.64093117206,0.7675721085979603,4.5484730313839705,No,College,Unemployed,Long Term,Environmental Impact
John Mitchell,Male,44,95174.72130848834,16540.544580714035,27086.240822294603,129911.8348892497,0.7927314152272181,73.91829455948567,No,High School,Self-Employed,Long Term,Governance
Crystal Brown,Female,28,75071.35664739527,45779.676812487814,49297.760720489954,110122.47121766502,0.20193175445171385,56.308157794129265,No,Graduate,Self-Employed,Long Term,Environmental Impact
Crystal Miller,Male,30,117689.09946923968,39958.44537939733,46220.307335265075,112016.28585000554,0.6620932333014834,30.063834853258054,Yes,Graduate,Employed,Long Term,Environmental Impact
Stephen Morrison,Male,56,34832.678875265425,37554.02150463817,17611.998043243417,143131.22582848114,0.49025036025639435,39.530490114114656,No,College,Employed,Medium Term,Social Responsibility
Jessica Jones,Female,26,69337.94275591493,21402.775057390478,14994.175238591597,132192.35259185015,0.2616652737739541,12.29769649393715,No,High School,Self-Employed,Medium Term,Environmental Impact
Briana Smith,Female,34,105480.71918518575,25462.62682963939,30949.933385633438,196083.75968304425,0.3436156497112035,13.96502682944668,Yes,High School,Unemployed,Medium Term,Environmental Impact
Kristen Lee,Female,21,60653.347182759535,16516.29622394482,7436.667707995286,107572.46881655596,0.8596723119953944,55.647908150271505,No,Graduate,Employed,Medium Term,Environmental Impact
Christine Mitchell,Male,59,99210.50880288982,32890.32244081203,40967.14630009914,101107.12372687251,0.5466200338130472,27.945829837232296,Yes,Graduate,Self-Employed,Medium Term,Social Responsibility
Sydney Fields,Male,48,115937.25572231993,48596.704368090206,26524.403447541954,172087.35573372972,0.9525804949102171,43.196243204809846,Yes,High School,Unemployed,Short Term,Social Responsibility
Cheryl Gentry,Male,41,65703.27443780637,44284.44749753209,29334.557551632217,138645.52985632623,0.031598523189958594,61.04453094662744,No,High School,Employed,Short Term,Environmental Impact
Malik Simmons,Female,53,99619.94245181902,35895.19567045928,27611.384545475266,167647.09649257944,0.4304064056286637,95.74171736989658,Yes,Graduate,Unemployed,Short Term,Social Responsibility
Lori Reed,Male,24,32666.30930506486,37107.80984363883,22717.261528357907,115303.05620343742,0.914939158552394,31.830394181558198,No,Graduate,Self-Employed,Long Term,Social Responsibility
Vanessa Goodwin,Male,63,54599.43257659176,20763.343170758286,35885.23909386752,168099.0155885378,0.38362987674858806,68.21009959683452,No,College,Unemployed,Long Term,Governance
Deborah Jordan,Female,51,119332.72906057176,26380.287859821685,12866.016295357207,131679.03202861527,0.31455919781978636,34.26352563140532,Yes,High School,Unemployed,Short Term,Environmental Impact
Johnny Carter,Female,25,74154.3110499714,10802.094299980976,48942.82378566688,85423.1478718133,0.3763365629505824,26.136053338378918,Yes,High School,Unemployed,Medium Term,Social Responsibility
Alicia Foster MD,Female,36,62023.00779352631,41212.146570425735,36421.005564326275,149391.83853895054,0.45965623882398843,75.26940011065759,No,High School,Employed,Long Term,Environmental Impact
David Smith,Male,23,114702.85604736529,40702.90913647405,25703.17655208935,61684.16038829875,0.03285979611329115,45.27180811242248,No,College,Self-Employed,Medium Term,Social Responsibility
Daniel Kelley,Male,28,68866.31516155903,10355.91944280183,36014.4747076842,189629.48886145893,0.5566665504828916,24.592828498987117,No,Graduate,Self-Employed,Long Term,Social Responsibility
Thomas Hall,Male,35,91172.5372279343,46460.61752209487,5531.899037470202,136128.24362152984,0.8603607027186637,98.30219471576679,Yes,High School,Self-Employed,Long Term,Social Responsibility
Joseph Donovan,Male,46,89460.47167633878,35894.86216700096,14483.857356565148,122994.54597494325,0.30304457161352205,34.16298047499649,Yes,College,Employed,Medium Term,Governance
Rebecca Jarvis DVM,Female,50,37712.47058730622,34045.67801978135,31145.369854075103,138824.47026231381,0.7060592037748116,45.97993415519049,Yes,High School,Self-Employed,Short Term,Social Responsibility
Joseph Ward,Male,27,85675.4301233899,10338.549084594852,19644.628996194187,119436.26514678235,0.4914796086451494,59.951366728884906,Yes,College,Employed,Medium Term,Environmental Impact
Mathew Hernandez,Male,45,101824.96564224719,20095.61765442606,32575.014336279713,133263.15518206422,0.13448824221238243,1.5874616161124622,Yes,College,Self-Employed,Medium Term,Social Responsibility
Tammy Garcia DDS,Female,23,94179.76794105471,42203.42276781946,16686.534609063412,173303.4578471067,0.715723189630214,69.18450603911708,No,High School,Employed,Short Term,Social Responsibility
Tracy Waters,Female,32,37383.42087058337,22218.38793538227,29685.353017063488,76426.10033009468,0.48745492669948287,64.6443291919364,Yes,College,Employed,Short Term,Environmental Impact
Charles Nguyen,Female,46,43879.88674789666,48680.97773473507,15671.261862839536,193382.51695684384,0.10938199288290151,0.2047513490816555,Yes,High School,Self-Employed,Medium Term,Environmental Impact
Erik Boyd,Male,40,94050.9439300755,35709.61245160656,26210.541413230494,60441.14522441385,0.6750245801400669,47.65289500674549,No,High School,Unemployed,Medium Term,Social Responsibility
Angela Williams,Female,19,87051.07937667458,26952.272026384762,32588.78194123015,66311.69507523105,0.6600785892738692,90.14449939845399,No,College,Employed,Medium Term,Governance
Kelsey Carrillo,Male,44,96568.97600789352,25059.01809084003,21466.586800486704,172110.00799731025,0.6853741671099691,67.27064041311742,Yes,Graduate,Employed,Medium Term,Governance
Ian Hayden,Female,21,58501.04058133825,23948.367970883253,27444.650747458858,165701.50683060184,0.5722102334336815,41.316303279839936,Yes,College,Self-Employed,Short Term,Environmental Impact
Anthony Graham,Female,43,39589.582594013504,20079.948371115042,14473.961694979535,106836.65200405744,0.4759110552240565,89.52681772149349,Yes,College,Self-Employed,Short Term,Social Responsibility
Christopher Wilson,Male,50,30467.57001330271,28667.920619888628,36532.06820673353,124144.27210948143,0.8543514695488732,70.32996750546747,No,High School,Employed,Medium Term,Environmental Impact
Donald Giles,Female,41,57744.07096226682,37087.846255492535,21753.933254096723,149024.713853168,0.506685048757025,76.24652414976886,No,High School,Self-Employed,Medium Term,Social Responsibility
Taylor Wright,Female,33,62392.57476122069,42972.43285882654,43444.67392583688,63579.950724853305,0.39138481962227056,53.81314537014721,Yes,High School,Self-Employed,Long Term,Governance
Gary Barnes,Female,42,54278.97989154478,25886.10159888481,17583.328934630783,172555.03848819068,0.49469113045219415,78.73052349442264,Yes,Graduate,Unemployed,Short Term,Governance
Stephanie Garcia,Male,23,41925.630404477946,14092.484118744007,13095.015292714814,183089.23048611867,0.9708707584276624,64.90972761159128,Yes,College,Employed,Short Term,Environmental Impact
Wendy Coleman,Female,41,46865.26051750895,30460.54869873207,10901.262492442576,185488.40070700852,0.6169396763778312,7.752311631030828,No,College,Employed,Long Term,Governance
Curtis Gates,Male,32,70395.93093193063,36494.21810105009,30915.172814358295,145419.92300358345,0.3527637702708748,3.094752052852645,No,College,Self-Employed,Medium Term,Social Responsibility
Joseph Hicks,Female,19,79926.6000547981,43731.35800343109,15285.503727485087,50027.65106828255,0.9777829444739039,83.20838646296903,Yes,College,Employed,Short Term,Environmental Impact
Christina Carter,Female,38,66723.97575748237,24969.190526442857,9494.13834092539,72008.80310782944,0.32048278347718695,67.16130781559406,No,College,Self-Employed,Short Term,Environmental Impact
Matthew Kelly,Female,24,32363.571361196748,35893.684802583615,17147.70981061415,72382.46476610124,0.028146986592288425,67.22459131733744,Yes,Graduate,Self-Employed,Short Term,Social Responsibility
Clifford Meadows,Female,63,61852.285861073295,34362.00418552067,15611.232779847844,129688.3731612972,0.0451184520736192,35.29947323504017,Yes,High School,Unemployed,Long Term,Environmental Impact
Sean Campbell,Female,59,38375.783441388674,21939.037050131898,24449.84382788757,108497.39903461802,0.8369341519952572,81.27812473205957,Yes,High School,Unemployed,Long Term,Governance
Christina Lewis,Female,39,83823.94180148456,14324.181223433738,22139.75220041606,136689.7122343925,0.34887678779328923,82.7466835091344,Yes,Graduate,Unemployed,Short Term,Governance
Elizabeth Mclaughlin,Male,27,59198.72975151714,12553.482155884398,11562.968090189137,79349.9930266235,0.742057134091608,35.79657404627727,No,College,Employed,Short Term,Social Responsibility
Cody Taylor,Male,26,64671.41256563853,49534.43863287068,48161.65643360012,152227.51819799692,0.026899842658594353,17.71866369183792,No,High School,Employed,Long Term,Governance
Desiree Mckenzie,Female,20,56266.26161666889,35623.78982458623,11729.662576946732,97489.65758800729,0.8913428904500081,76.79658443620033,No,College,Unemployed,Short Term,Social Responsibility
Andrew Rhodes,Female,36,64901.960344055435,44459.664010073226,41255.07627009156,135541.46117830274,0.3412565244777007,69.703013437834,Yes,College,Self-Employed,Long Term,Environmental Impact
Ashley Parrish,Male,48,37622.95652356702,20445.876317059876,12947.327449682578,186980.63978503522,0.09735004922858015,0.8431375956266085,No,College,Employed,Long Term,Social Responsibility
Tammy Brooks,Female,62,111102.24403707897,38443.75102287167,27481.90217503328,95682.51995574863,0.3451430275436157,46.26925317233847,Yes,College,Unemployed,Short Term,Governance
Steven Monroe,Female,26,111468.6816882023,45694.95190723731,49800.27966348207,191499.99462441707,0.35736608067102427,93.62478494121943,No,Graduate,Employed,Short Term,Governance
Noah Hernandez,Female,63,118035.57576124986,21951.64447675946,43222.54619284972,115209.05500403556,0.35126926046944584,44.457765675606794,No,Graduate,Self-Employed,Medium Term,Social Responsibility
Cynthia Lee,Male,48,81476.43876745855,15997.171854166261,28265.313871422528,197387.04552700883,0.6612400058226949,22.152076470214453,No,High School,Unemployed,Short Term,Social Responsibility
Nicholas Moreno,Female,46,45262.463105309296,40618.97553214493,37425.214828608376,101639.69396459601,0.24761393096016404,1.9781669664539314,No,College,Employed,Medium Term,Environmental Impact
Thomas Rivera,Female,57,64265.88211398688,45987.481789819794,40339.982151224525,63393.11068809812,0.6480828248865866,28.11344838183697,No,College,Self-Employed,Short Term,Social Responsibility
William Burke,Male,18,42495.60530634751,42217.19290534119,18501.53819690519,51217.88786145755,0.592531666792495,92.13986896663738,Yes,Graduate,Employed,Medium Term,Social Responsibility
Ann Martinez,Female,23,57101.813883756186,42094.54977811246,30296.230343227006,197963.24727359103,0.9103890187143628,35.78210189306116,Yes,Graduate,Employed,Long Term,Social Responsibility
Lauren Ward,Male,19,74381.15479897062,34001.33204582287,30552.553364239026,110629.61240966254,0.06550023607119881,8.99665192982615,Yes,College,Self-Employed,Medium Term,Governance
Wayne Tyler,Female,34,35694.043524925895,36421.21294724516,22928.08558384974,69133.35455861522,0.30491245623284047,61.34427087399107,Yes,College,Self-Employed,Long Term,Governance
Tracy Gordon,Female,31,69120.86423364704,37230.23001549527,36074.44291822899,94127.69943000065,0.3375942570699695,30.31785324842817,Yes,High School,Employed,Medium Term,Environmental Impact
Angela Burgess,Female,27,67899.2105795272,38851.32790370443,7701.6369975807465,105383.43403608615,0.019711990195637963,71.780952976009,No,Graduate,Unemployed,Long Term,Governance
Ashley Zamora,Female,53,73580.81825405356,36216.02281849766,41621.81311430808,132332.77049053408,0.3261168378396154,23.425794378011755,Yes,College,Unemployed,Short Term,Social Responsibility
Julie Flores,Female,64,36922.92252556414,49898.76398313184,26444.274095846165,57969.09667645764,0.460909386409579,49.380867158842456,Yes,Graduate,Self-Employed,Medium Term,Governance
Stacey Joseph,Male,56,52652.97640100126,20377.050908479556,33343.79955629695,155503.11866406008,0.8633685217982011,36.29991787433329,No,College,Self-Employed,Medium Term,Social Responsibility
Kelly Bauer,Male,51,52193.10615123026,26742.627443253663,25243.46685787063,173112.99254599537,0.568049404880105,28.075635800389843,No,College,Self-Employed,Short Term,Social Responsibility
Michael Peterson,Male,45,86253.03189920052,25530.996840218337,20059.544233155328,103886.69458370467,0.9014098452118979,90.45075901154257,Yes,Graduate,Employed,Long Term,Governance
Katie Powers,Male,25,83442.57582351708,11412.760193056969,21243.29094748047,179187.1759469165,0.2666188852518966,70.69680065365654,Yes,High School,Self-Employed,Long Term,Social Responsibility
John Williams,Female,36,47599.34023922344,38322.75837503484,30215.751566641902,179851.94552449667,0.6959584762878708,20.90863213474705,No,Graduate,Self-Employed,Short Term,Governance
Evan Lee,Female,33,39627.51308228118,32881.69736147365,46933.00590999956,85286.17556957397,0.5879892335998746,19.608679402070884,No,Graduate,Unemployed,Medium Term,Social Responsibility
Brandon George,Male,37,57419.219617613126,17596.60641645403,16597.167145358864,155333.2823405011,0.9857647815087015,82.11234706523723,No,High School,Self-Employed,Medium Term,Environmental Impact
John Miller,Female,25,115394.11161551086,39061.99506323614,5892.5900126192,109140.24855034161,0.3777375934299345,39.60861795466134,No,Graduate,Employed,Medium Term,Environmental Impact
Patrick Walsh,Female,21,59899.54937804643,18894.527759050754,10455.687014751667,97719.09644280409,0.39030079038755117,86.991623250654,Yes,High School,Unemployed,Medium Term,Social Responsibility
Mrs. Julie Payne,Female,33,85817.29690872204,31385.404061768524,44031.586278836156,107418.44222623779,0.5725386448035066,56.910223141555214,Yes,Graduate,Self-Employed,Short Term,Governance
Jeffrey Ward,Male,44,102366.88157616442,41395.882211844684,48340.24524130613,107234.75676237424,0.808326568367769,49.40113214438937,No,Graduate,Unemployed,Short Term,Social Responsibility
Larry Hill,Male,58,59658.75446513342,46261.06022020219,13953.114978659294,131767.81819524177,0.10005668320405448,55.178518737681394,Yes,High School,Self-Employed,Medium Term,Governance
Jacqueline Dominguez,Female,57,60126.26013722613,36874.73903849635,30915.250586300688,149373.13404687878,0.6751112953268611,65.98384211869151,Yes,High School,Unemployed,Long Term,Environmental Impact
Andrea Jensen,Male,47,103392.79230027029,30292.594224272612,34210.892835480874,121230.71194336063,0.33596746248551745,56.57070478213991,No,High School,Employed,Long Term,Environmental Impact
Dawn Sawyer,Female,22,107355.76203907517,43816.76976978381,12854.247607825628,78234.02571166483,0.5027685225863544,68.23836013896208,Yes,College,Unemployed,Short Term,Environmental Impact
Mark Brewer,Male,25,117680.28388541461,43625.547783856,40113.90941446567,107689.2586536642,0.7649039005293514,56.51402337516013,No,College,Employed,Medium Term,Social Responsibility
Suzanne Brown,Female,49,42251.20244204383,45059.79137368442,20979.906727590133,188672.3064187406,0.33953942482640753,6.536062500003414,No,High School,Self-Employed,Short Term,Governance
Holly Phillips,Female,56,58859.86398375789,17245.434312160032,35293.67780663076,175994.4030090073,0.6148278735542364,12.824639488736867,Yes,Graduate,Employed,Long Term,Governance
Alex Waters,Female,52,115255.10298145046,13904.122552508374,26937.218493696273,73140.09363405875,0.3633343053566497,6.504932140880005,Yes,College,Self-Employed,Short Term,Social Responsibility
David Smith,Female,19,48076.63398318645,15117.765587842134,38143.67741429697,199618.40645157063,0.43599113227247166,25.96244807061806,Yes,High School,Unemployed,Long Term,Environmental Impact
Julia Mahoney,Female,58,58276.49530758972,20346.074022408317,45033.46021121992,150509.91228843015,0.49695171144190575,56.990329068510945,Yes,High School,Employed,Short Term,Governance
Christopher Velazquez,Female,50,116811.71607853145,42333.7547656988,22148.194928578057,70141.61722168633,0.8473340941526536,22.796517521890316,Yes,College,Self-Employed,Medium Term,Governance
Lauren Rodgers,Female,54,117185.26995720259,40516.7287327721,17893.56094501051,60761.899480658656,0.7871496086964098,52.307995951845385,Yes,College,Self-Employed,Short Term,Governance
Aaron Taylor,Female,33,56230.33364220479,17322.734280503802,33427.0485717561,52356.16990625398,0.8403804887111059,78.22527086312172,Yes,Graduate,Employed,Long Term,Social Responsibility
Roger Hudson,Female,63,92546.19909048991,37188.494771597136,11518.175222513033,158200.88485429663,0.5358340234613426,19.185154771556835,No,High School,Self-Employed,Medium Term,Social Responsibility
Jessica Castaneda,Female,27,74190.65816028921,23425.298528204752,12540.899096624024,123005.20054019245,0.28735555905964294,67.7978716962915,No,College,Unemployed,Medium Term,Environmental Impact
Ronald Bowman,Female,36,81829.13534624645,13571.992880777569,41347.27147806808,115510.26736383329,0.04753136111289458,99.1951353623053,Yes,College,Unemployed,Medium Term,Social Responsibility
Donald Alexander,Male,45,51818.18671025158,24211.335844793295,20182.47394995199,198532.64630113813,0.996227693360453,69.2985815388966,Yes,College,Self-Employed,Long Term,Social Responsibility
Ernest Garza,Male,18,63844.97720917324,39768.39717371232,33407.30337466266,62699.516643457406,0.40202735218855,53.294151734155825,Yes,Graduate,Unemployed,Long Term,Environmental Impact
Christine Flores,Male,57,103484.50638896218,22283.41085328834,30723.690824320704,146336.43493720324,0.2258859770340642,25.292107224971318,Yes,Graduate,Employed,Long Term,Environmental Impact
Kristen Colon,Female,40,65364.16167655139,41523.61747230397,43200.53473724639,112378.31994163181,0.742888025626101,56.011597725079895,Yes,College,Self-Employed,Long Term,Social Responsibility
Michael Rogers,Male,33,40249.90412507983,23252.68547883106,8210.483517945084,118404.29815677828,0.09195783523996792,45.39261236932498,Yes,High School,Self-Employed,Short Term,Social Responsibility
Kyle Knapp,Male,54,80746.54577659073,20422.369416228143,12289.977002614341,168339.26367989613,0.8441868840023372,93.7890368902046,No,High School,Employed,Long Term,Social Responsibility
Todd Johnson,Male,44,83300.4330825347,21762.04486601371,15269.807272454296,140664.4269045193,0.09473361515897993,64.09662863098067,Yes,High School,Employed,Long Term,Environmental Impact
Ryan Peters,Male,29,79106.617690574,44048.55552845641,19259.520876300256,113855.62564050607,0.33683806116405823,94.30742237719151,Yes,Graduate,Unemployed,Medium Term,Governance
Dr. Erica Lopez,Female,60,91354.13698170788,28821.46270682721,18111.035875748894,76969.60656463468,0.06726977651140309,5.186279754236189,Yes,High School,Self-Employed,Short Term,Governance
Patricia Jones,Female,60,79508.92412977255,44655.734787701585,17036.257589178706,126412.2371645175,0.8011856714715335,93.87593293413464,No,College,Unemployed,Medium Term,Social Responsibility
Joseph Ferguson,Female,23,115770.41503376664,33342.984789703216,34008.99319198347,132807.50455715292,0.47526836713482357,43.25481716121848,No,College,Self-Employed,Short Term,Social Responsibility
Kyle Collier,Male,51,71546.00005498336,47772.03936000308,17206.164560810706,117506.86509689098,0.20973915865508075,99.51064765965633,Yes,High School,Unemployed,Long Term,Social Responsibility
Brandon Parrish,Male,41,93753.03461304572,12848.629496163034,25020.42744415873,103296.08458177102,0.7956517493476092,27.403559626428553,No,College,Unemployed,Long Term,Social Responsibility
Cody Scott,Female,22,69460.94588780176,45577.042458815515,43826.291764115114,77868.65505364371,0.651536813555203,68.01734754316155,Yes,College,Unemployed,Medium Term,Governance
Daniel Russo,Male,51,56219.80871867658,30019.094979708174,21342.41781126929,140685.98859842494,0.3018470146107638,46.65867276160025,Yes,High School,Self-Employed,Short Term,Social Responsibility
Briana Walker,Female,52,92355.17513919085,44699.9101879292,31411.389808670476,136690.77511670845,0.804126711934127,36.14718431029983,No,College,Self-Employed,Long Term,Environmental Impact
Phillip Ramos,Male,50,103706.90112040126,25266.768792223484,48448.671477012256,177020.58300105488,0.4329104845483355,75.90217146535565,Yes,College,Self-Employed,Long Term,Governance
Justin Wright,Female,50,101609.1152396359,21934.230152698532,23629.507739315293,85512.49509170279,0.5399475791555118,88.38024416656812,No,Graduate,Self-Employed,Long Term,Social Responsibility
Jessica Porter,Male,53,66822.74312204114,12162.478825703005,13274.87895965228,125259.32073881899,0.2000769854658413,22.454820608321313,No,College,Self-Employed,Short Term,Environmental Impact
Thomas Snyder,Male,19,74937.28937600643,44169.59081613375,6039.549154242842,111625.67204970618,0.40230095573711977,27.793303071254105,Yes,High School,Self-Employed,Long Term,Social Responsibility
Thomas Stewart,Female,42,87000.24356882973,15494.610366924957,37749.7587394582,131924.9390546445,0.6249638759744854,42.00620690912774,No,Graduate,Self-Employed,Long Term,Social Responsibility
Renee Ford,Male,48,51781.905090371896,18011.86363180574,34791.01465138879,105045.50378784002,0.45322860532671394,44.88614970165637,No,Graduate,Self-Employed,Short Term,Social Responsibility
Tammy Mooney,Male,20,89279.66716790863,26367.673870084163,47319.680180209805,196735.01741647537,0.7634422149327582,0.5159284113786189,No,College,Employed,Short Term,Environmental Impact
Adam Rojas,Female,58,94371.27521694836,32776.14351893816,36531.36177911079,135222.4366552399,0.18060085088682598,19.460813950528067,Yes,High School,Unemployed,Short Term,Social Responsibility
Nicholas Ewing,Male,42,101016.90868980567,46264.8373802451,8602.913204399621,155732.3813832312,0.018603322117357934,8.180890142990982,Yes,College,Employed,Long Term,Social Responsibility
Suzanne Gonzales,Female,41,36656.86220240596,28302.85732246165,12510.970926784361,66974.65544224021,0.703331645699025,57.18196169113584,Yes,College,Self-Employed,Medium Term,Social Responsibility
Patrick Gomez,Male,34,119163.05529932713,22655.338305948357,9635.419132559873,122229.93630365029,0.8627098067592005,2.5371938871328825,Yes,High School,Employed,Short Term,Governance
Ryan Curtis,Male,65,73131.12297953636,38626.73824440144,7870.65798160221,153574.5897293796,0.5768432952404292,73.74441789509952,Yes,Graduate,Employed,Long Term,Environmental Impact
Frank Stanley,Female,19,66072.45875964363,41157.64709735258,44541.09394023836,71313.12198585138,0.21295280501847125,97.8095611106969,Yes,High School,Unemployed,Short Term,Governance
Trevor Moore,Female,40,75595.13787265582,29503.2338299243,29679.51847182322,159693.97745252555,0.9621170746081172,42.382025687229394,Yes,College,Self-Employed,Medium Term,Environmental Impact
Kevin Shaw,Female,22,112835.29660304662,35241.31089050781,6186.421101480846,197536.86471955923,0.7422080109872147,7.444036690142164,No,High School,Employed,Medium Term,Social Responsibility
Nichole Lyons,Female,40,92253.79793082969,17072.970662538428,22865.563434207626,197550.25664409497,0.46729531338763197,24.998416153249746,Yes,Graduate,Unemployed,Short Term,Governance
Melissa Moreno,Female,33,78928.06830487298,35379.958766106836,39424.83674601181,166830.47258789133,0.9371629255855557,16.44815752597498,Yes,High School,Unemployed,Medium Term,Environmental Impact
Andre King,Male,64,101164.88253443333,10188.540056959753,8746.304062580899,119740.44909732365,0.5327193350265433,31.08058576497742,Yes,College,Self-Employed,Short Term,Governance
Jamie Shepard,Male,60,62357.65437146339,20941.114488059982,16810.351891924423,61735.1902909839,0.6144222978709238,62.59946869708203,No,Graduate,Employed,Long Term,Governance
William Daniels,Female,58,110595.13638248091,40447.73124859997,11987.346290007285,183487.32174568318,0.7691191651436375,9.672609737420634,No,High School,Unemployed,Medium Term,Social Responsibility
Vickie Beck,Female,24,78321.5387422129,16744.230263316305,34467.47039945074,63266.95260990184,0.4337244848507339,47.99664201732645,Yes,Graduate,Unemployed,Medium Term,Environmental Impact
Tara Miller,Male,55,87436.23303097571,40579.34944583032,44846.209269337945,120867.73585229684,0.5661164427296449,80.80590741636121,No,College,Unemployed,Short Term,Environmental Impact
Laura Briggs,Male,65,37648.3740645889,29583.083625200656,18921.679409749937,161252.91660100623,0.6267584715774779,59.253077057913615,Yes,High School,Self-Employed,Short Term,Environmental Impact
Aaron Fisher,Female,39,99205.86431280365,40542.76668421997,16132.84336918365,194061.65704360284,0.5222695857334735,62.62971083451867,No,College,Employed,Long Term,Governance
Jared Simmons,Female,26,89184.14801226891,13521.653750361784,17787.887602614006,61712.28775837348,0.36427466915910456,33.43025359549193,No,College,Self-Employed,Short Term,Environmental Impact
Megan Daniel,Male,20,61950.793750364064,34579.189549002476,33191.63080817854,145053.1496173112,0.14774368882457867,25.04094708498833,No,College,Employed,Long Term,Environmental Impact
Frank Hess,Male,40,88229.98631850639,35339.50162810377,10907.469978208874,169714.7360961457,0.15047265400315457,10.78406533120313,Yes,High School,Self-Employed,Long Term,Governance
Kathleen Mitchell,Male,52,33986.702417506465,26135.739215918016,42733.30005017936,96874.9582168152,0.6853066367322957,23.83592125684221,No,High School,Unemployed,Long Term,Environmental Impact
Kendra Yates,Male,39,118524.73853567845,48613.113605201324,6285.708185896081,57916.140821112625,0.3002756747910529,34.08019679227286,No,High School,Employed,Short Term,Governance
Ashley Romero,Female,59,90972.47062777671,25332.656802138426,34859.7110886712,101531.92565035066,0.435388784186991,5.443286017800708,Yes,High School,Self-Employed,Short Term,Social Responsibility
Dana Williams,Male,29,65965.5971602574,11509.012738997519,43716.59678360266,166779.06998706987,0.31865318015356314,33.35884550189602,No,Graduate,Unemployed,Medium Term,Social Responsibility
